customer_zip_code_prefix,geolocation_lat,geolocation_lng
1306,-23.553932290870787,-46.64978128795658
1307,-23.5528355903399,-46.65316948972822
1308,-23.555909891482465,-46.65324841993188
1309,-23.554620524006012,-46.65850520621502
1310,-23.561264556754605,-46.6565542389636
1311,-23.56471213211952,-46.65274077352985
1312,-23.556049111529205,-46.64974666729382
1313,-23.556815612833606,-46.65074498528482
1314,-23.551730864822066,-46.6451120738357
1315,-23.554264840412014,-46.640592583242125
1316,-23.552916506520862,-46.63970305438866
1317,-23.555771764343227,-46.639553016612446
1318,-23.555771764343227,-46.639553016612446
1319,-23.551666072162263,-46.64123080586009
1320,-23.55796144157196,-46.63947868679663
1321,-23.56373026311385,-46.64228881932018
1322,-23.563294082982303,-46.64348420621503
1323,-23.56640335729583,-46.64158540455872
1324,-23.556372066333893,-46.64329164931619
1325,-23.557262898695825,-46.64448070760001
1326,-23.55579026923128,-46.64553046964562
1327,-23.565974071325552,-46.64484410309317
1328,-23.555705605603343,-46.64727675
1329,-23.562280655288813,-46.64770279141904
1330,-23.558617456287138,-46.64971032514858
1331,-23.562336279762278,-46.6503277425703
1332,-23.559618054532898,-46.65244033804608
1333,-23.566621736049424,-46.64674897189683
1401,-23.57538559651848,-46.65718691736133
1402,-23.57865694118888,-46.660826554315584
1403,-23.569131583674803,-46.65370444517863
1404,-23.56876704094289,-46.65597109096028
1405,-23.565713039961945,-46.65577318166076
1406,-23.576796016778324,-46.67132872287777
1407,-23.577273911189312,-46.67300311656761
1408,-23.56727846295225,-46.66120351442673
1409,-23.559888510127543,-46.65612221732353
1410,-23.562466386346568,-46.660461365110514
1411,-23.5641124118818,-46.6645303395753
1412,-23.56428136940969,-46.66669384347044
1413,-23.561366521236057,-46.663572981678136
1414,-23.55936593311784,-46.66318410115993
1415,-23.555200641958606,-46.66050841271853
1416,-23.559990663338887,-46.667473674851415
1417,-23.56141411907777,-46.66621924231049
1418,-23.56312173510022,-46.656566708353616
1419,-23.56410597890817,-46.655402039413694
1420,-23.56442600742329,-46.65680586903512
1421,-23.563184516374296,-46.66042147807144
1422,-23.563886468780627,-46.66113179724742
1423,-23.56976284096028,-46.65677240798665
1424,-23.568143647786982,-46.66117892867444
1425,-23.572803394944913,-46.6592021873449
1426,-23.566558462952248,-46.66567254870451
1427,-23.573185889260767,-46.66156307369149
1428,-23.57417026852388,-46.6621165551676
1429,-23.57637083097695,-46.66351199901904
1430,-23.57471529280402,-46.66616127309717
1431,-23.57604471440934,-46.665092734116186
1432,-23.57681026005544,-46.66595134970284
1433,-23.577661519562607,-46.669148129897806
1434,-23.57448840660167,-46.67268991895092
1435,-23.57902260935425,-46.670462300652076
1436,-23.57249501637429,-46.667432996393316
1437,-23.572404732731197,-46.6720207076
1438,-23.570470456561274,-46.67289208771418
1439,-23.565875311962603,-46.673390660294785
1440,-23.568476608177434,-46.67851754696878
1441,-23.56496279788524,-46.67630075455378
1442,-23.56370226740048,-46.67529085698279
1443,-23.56750865000869,-46.68471805799536
1444,-23.571536165416365,-46.68422691257428
1445,-23.57272211157595,-46.68832731862769
1446,-23.575398783931544,-46.675254416036736
1447,-23.572516547319537,-46.678703958035754
1448,-23.57867777491485,-46.67931236802472
1449,-23.576433485977308,-46.680593930607685
1450,-23.575921313347585,-46.68516203220032
1451,-23.57472874493622,-46.68862629892086
1452,-23.570810444514542,-46.69077501106554
1453,-23.584555152922874,-46.68664013904443
1454,-23.582599229528547,-46.68734709409082
1455,-23.58040075604472,-46.69090843865776
1456,-23.577164816954266,-46.69066778788448
1457,-23.57469739716661,-46.69253938758733
1472,-23.57054369248079,-46.69129667943905
1489,-23.57664998889148,-46.68740004775216
1501,-23.5520504521322,-46.63539411226844
1502,-23.55467350531036,-46.63552025265517
1503,-23.5588940671706,-46.63737421259167
1504,-23.565252583126533,-46.63938215175425
1505,-23.555358047319537,-46.63144751276761
1506,-23.559883459893825,-46.63489364376194
1507,-23.558188039269446,-46.63139014542106
1508,-23.561483773241413,-46.636216077298165
1509,-23.567494462952244,-46.63555394892956
1510,-23.557591446015362,-46.63353748251487
1511,-23.56072295337296,-46.63277989454088
1512,-23.553907271163933,-46.62908140313922
1513,-23.55733090647177,-46.63127845628715
1514,-23.553061260892157,-46.627660240421854
1516,-23.5591884476888,-46.61485962698363
1517,-23.55938749679736,-46.62377125714126
1518,-23.558930444630374,-46.62292373757862
1519,-23.56155412254022,-46.62258413696694
1520,-23.55889725284208,-46.62042915364401
1521,-23.560756921172626,-46.62318386802472
1522,-23.559013992121344,-46.6153654505723
1523,-23.56366379462169,-46.6162648956374
1524,-23.56722896808813,-46.61541736011886
1525,-23.564759877604,-46.635579188729885
1526,-23.56624136747645,-46.63071419608747
1527,-23.562233885365615,-46.630128096714216
1528,-23.564960921316853,-46.62822254232787
1529,-23.5688472717122,-46.63517002345775
1530,-23.568291953372956,-46.628777137111165
1531,-23.57106818595992,-46.63253912197762
1532,-23.57088934915458,-46.635522778521526
1533,-23.571333701915854,-46.63872674688379
1534,-23.567731265755775,-46.626243530931966
1535,-23.572119688037397,-46.625417150989634
1536,-23.56709014432454,-46.623143787119865
1537,-23.576848899945936,-46.623665693534306
1538,-23.573205,-46.62290025
1539,-23.571578567026386,-46.62022212163139
1540,-23.565619351376295,-46.62178155467713
1541,-23.568722298084143,-46.61880092397124
1542,-23.571196198164948,-46.62424844532288
1543,-23.575635922557613,-46.62076735720466
1544,-23.57694250916093,-46.62156165681802
1545,-23.581373061053768,-46.617988397931214
1546,-23.579554547319532,-46.62235967583239
1547,-23.5827745037509,-46.6204825896474
1548,-23.576901674158936,-46.613529575913184
1549,-23.57610824978365,-46.61545502622772
1550,-23.572462086588985,-46.61617543505108
1551,-23.57174196006865,-46.61252696591281
1552,-23.5677241043626,-46.61119233625707
1553,-23.57430307573513,-46.60954950329674
2009,-23.515799103830265,-46.64113909097136
2010,-23.51380025727336,-46.6263210910324
2011,-23.505272576069707,-46.62628243450282
2012,-23.51395046250292,-46.62950760331549
2013,-23.50218558090484,-46.63382294171621
2016,-23.501139521928536,-46.62721984347043
2017,-23.50029650346245,-46.63499361226843
2018,-23.495272978361545,-46.62938073144748
2019,-23.498262,-46.629210109008
2020,-23.49599337262425,-46.6326762336835
2021,-23.49847853427779,-46.63638298557326
2022,-23.50416851075128,-46.63768728561726
2028,-23.508732635581964,-46.61831878642738
2029,-23.51120380502009,-46.62128454916095
2030,-23.504398054538573,-46.624627022882166
2031,-23.50938209158182,-46.62517233083236
2032,-23.51077923487879,-46.623923552201184
2033,-23.498986714471563,-46.611813325375664
2034,-23.50457924562872,-46.62369396003804
2035,-23.495784642247063,-46.62240994561134
2036,-23.5020045545329,-46.6203512865544
2037,-23.49987949624909,-46.620584715829395
2038,-23.494539939494487,-46.62465712308848
2039,-23.492943503462445,-46.62179762170351
2040,-23.48929981320335,-46.622173221766936
2041,-23.488782265335555,-46.62064292353855
2042,-23.49503585123206,-46.61576348348149
2043,-23.490150706853875,-46.617224474492815
2044,-23.495140183738226,-46.61887747807146
2045,-23.496702747706177,-46.61657003504716
2046,-23.49157916985976,-46.61162269747246
2047,-23.51652487318377,-46.62107903956914
2049,-23.514166590335094,-46.61736559414439
2050,-23.517823531089473,-46.61261277560734
2051,-23.51216873910785,-46.60869755606212
2052,-23.51152876519133,-46.607128170840696
2053,-23.510427444341925,-46.60117949988444
2054,-23.516647747850413,-46.607014882113596
2055,-23.5139061268394,-46.60570247307978
2056,-23.511271473772283,-46.60410411948181
2060,-23.519256620327738,-46.603201803912526
2064,-23.51707022952855,-46.5960457342604
2065,-23.507877494445744,-46.60554417816963
2066,-23.50926448483579,-46.60351726922744
2067,-23.507087547737896,-46.60332727192852
2068,-23.50373005023372,-46.61274296142303
2069,-23.505171066333887,-46.613767588954914
2071,-23.503095000000002,-46.60971701276762
2072,-23.49993667110052,-46.60575947002136
2073,-23.50188317998731,-46.60739055467712
2074,-23.50489456036128,-46.60203512531019
2075,-23.50318938022973,-46.60153910866176
2076,-23.504887157784637,-46.59908875659298
2077,-23.502350154195742,-46.59722169219233
2078,-23.502460609498485,-46.59374588980903
2079,-23.499407624617696,-46.60480393450282
2080,-23.497612575350594,-46.60588084975389
2081,-23.496102481822373,-46.604177104218365
2082,-23.49470125757394,-46.60712741215593
2083,-23.494848302109176,-46.597334103193404
2084,-23.4976279812741,-46.59973701859599
2085,-23.4974436813723,-46.61260908702167
2088,-23.50424025971884,-46.620742066583865
2089,-23.51709448459233,-46.616673100755904
2110,-23.519571487645177,-46.59507353094523
2111,-23.518808468228052,-46.59381716597972
2112,-23.5204986615046,-46.59288975507511
2113,-23.51528796497884,-46.58734465236856
2114,-23.52228692176485,-46.59078810629585
2115,-23.526499508561297,-46.59188593503609
2116,-23.51906498112988,-46.58460977393391
2117,-23.51807042203993,-46.59393030272233
2118,-23.51499054491392,-46.59291223327074
2119,-23.511942,-46.59299115736628
2120,-23.510416629107844,-46.594217747359366
2121,-23.51194034471118,-46.5895177492354
2122,-23.51220054815625,-46.58326616985977
2123,-23.51194017707312,-46.57958320038666
2124,-23.50596583126541,-46.57852189203073
2125,-23.510036681660747,-46.58756028518662
2126,-23.506858079375625,-46.59173845989383
2127,-23.50555187454558,-46.58591682722604
2128,-23.50525432889948,-46.59432001442672
2129,-23.504022545097836,-46.58866191049681
2130,-23.508716406053416,-46.58354303274857
2131,-23.504182313073454,-46.582139046226104
2132,-23.50167328336896,-46.57726866028046
2133,-23.499213066608014,-46.584843996047084
2134,-23.49925304746376,-46.57848962170351
2135,-23.498717138476565,-46.58801134915458
2136,-23.4982544454671,-46.58310665875125
2137,-23.49789338663504,-46.57642462920533
2138,-23.494659558976306,-46.57459055245542
2139,-23.490544054677123,-46.573733800781994
2141,-23.489264422861147,-46.57108695974959
2142,-23.5100047784509,-46.577215288649086
2143,-23.507720287812354,-46.57521706910386
2144,-23.50308536081135,-46.57083605675562
2145,-23.502788226096424,-46.5667425
2146,-23.50095702331352,-46.57088226395057
2147,-23.498361926574916,-46.565166700263546
2150,-23.49379917346644,-46.56839711157596
2151,-23.497003875382305,-46.569974233279446
2152,-23.498102163338892,-46.572439418748914
2161,-23.49071285429047,-46.56935969248078
2162,-23.4904124074384,-46.562503456719824
2166,-23.525060091869104,-46.584156027756926
2167,-23.522903946448046,-46.58180409758191
2168,-23.52013794544512,-46.57970414962962
2169,-23.521000500000003,-46.577964184198095
2170,-23.525360022247746,-46.57602190552532
2174,-23.523062564007805,-46.57211541813305
2175,-23.51595756228953,-46.574496695083866
2176,-23.5131705992267,-46.57298967860234
2177,-23.511506887875782,-46.56917911601936
2178,-23.521753957390764,-46.57073324793829
2179,-23.520153877315543,-46.568183538014374
2180,-23.51997318512321,-46.565916754587626
2181,-23.517754127292296,-46.5609527282878
2185,-23.51649734110451,-46.56782303996194
2186,-23.51335483236194,-46.56877347114656
2187,-23.515537008323783,-46.56489950138496
2188,-23.51024063281201,-46.566772533166954
2189,-23.507809234664435,-46.56770190632754
2190,-23.5073682192535,-46.56400128267647
2201,-23.484410292686675,-46.59138190306584
2202,-23.49290528910448,-46.594327198929534
2203,-23.49192999194992,-46.59134649651459
2204,-23.486069084929888,-46.59117467381269
2205,-23.489033888424046,-46.59122368171853
2206,-23.484389018321856,-46.59482371766977
2207,-23.485869985284825,-46.587877390437164
2208,-23.48268805023373,-46.588237009160935
2209,-23.485064826913263,-46.58262131639403
2210,-23.48274256396796,-46.58282651775706
2211,-23.497402861503843,-46.59359474868712
2212,-23.495204420480142,-46.58943987621901
2213,-23.496719055369624,-46.58780029961334
2214,-23.493441384399006,-46.58699800326043
2215,-23.4906802649172,-46.58362085789716
2216,-23.493525919156006,-46.579201739872445
2217,-23.490460865110524,-46.58084227837731
2218,-23.48705964057363,-46.58465115944374
2219,-23.49106374992788,-46.5864510380287
2220,-23.49041217679899,-46.57794383819032
2221,-23.482108152374614,-46.58128894102369
2222,-23.482367418128536,-46.57742509942871
2223,-23.480325240637047,-46.57860592951116
2224,-23.48454755037796,-46.57495858312655
2225,-23.48234428462404,-46.57492594900167
2226,-23.479652744936228,-46.574444157654746
2227,-23.47813702553522,-46.572546292602
2228,-23.475019190951585,-46.5716534716948
2229,-23.47475819095159,-46.56922155467713
2230,-23.483707808114985,-46.56369504328169
2231,-23.478236360811348,-46.56443274173505
2232,-23.475066063942872,-46.56415992423104
2233,-23.477853483625708,-46.56445543914825
2234,-23.478061943354454,-46.56847449479198
2235,-23.478589602833388,-46.57724225728546
2236,-23.472522502914188,-46.56816113412488
2237,-23.46531197335392,-46.57086847171908
2238,-23.47097699162584,-46.569867464337236
2239,-23.48466145934556,-46.60883103136359
2240,-23.47891339355994,-46.60296099861503
2241,-23.490518793784968,-46.60742305591787
2242,-23.487814099919184,-46.60719995129547
2243,-23.491428663887145,-46.60417913183105
2244,-23.48841319233656,-46.605302580904834
2245,-23.48514561532687,-46.60625548355358
2246,-23.48836053830283,-46.60200264286745
2247,-23.485788041909515,-46.6009222605459
2248,-23.483003342682032,-46.59993396003806
2249,-23.488544231201985,-46.59715265612552
2250,-23.48664048542905,-46.59554132653355
2251,-23.47865381848347,-46.58874372300767
2252,-23.478723869553917,-46.58823999999999
2253,-23.479020649460438,-46.59546660727678
2254,-23.481249599919757,-46.59321373175024
2255,-23.47664386372554,-46.59206798626578
2256,-23.4754224723873,-46.587293460038055
2257,-23.472938598389987,-46.58348354176032
2258,-23.476446556203285,-46.582155127535685
2259,-23.47170142914206,-46.581458523420906
2260,-23.469302576551907,-46.58055940121916
2261,-23.467961586450706,-46.57785809229264
2262,-23.465346286427376,-46.57498702914191
2263,-23.46358565487045,-46.57511164355992
2264,-23.46247742353855,-46.57672674216626
2265,-23.475049354434717,-46.59203962461768
2266,-23.47767972300769,-46.59880224424372
2267,-23.478949561198,-46.6011719321369
2268,-23.46913690980433,-46.59426446350052
2269,-23.472523335694483,-46.59604135401473
2270,-23.472793571469776,-46.59260139647412
2271,-23.46964091576261,-46.59041762891686
2272,-23.46921853933009,-46.58657293393443
2273,-23.46356067886859,-46.58574627053405
2274,-23.467733926399866,-46.58688539807545
2275,-23.465298390035287,-46.58997432471589
2276,-23.460435484510118,-46.584478621915466
2277,-23.463956660659832,-46.581812767103735
2278,-23.46171889869582,-46.58021424326277
2279,-23.46154956480468,-46.5737805
2280,-23.455997614065545,-46.57542242097061
2281,-23.452379298084143,-46.57435094932181
2282,-23.443303500000003,-46.56802725
2284,-23.46970319641185,-46.56868272083551
2286,-23.40858677491484,-46.57960324340701
2288,-23.432886000000003,-46.57106152153627
2289,-23.418896459057105,-46.58266939924407
2290,-23.54329484225016,-46.63074319149357
